##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	29_4E_fox_S21_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4827433
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.297798643709815	32.0	32.0	32.0	32.0	32.0
2	31.48791832015069	32.0	32.0	32.0	32.0	32.0
3	35.23526395912693	37.0	32.0	37.0	32.0	37.0
4	35.94660578406785	37.0	37.0	37.0	32.0	37.0
5	36.14409376577572	37.0	37.0	37.0	37.0	37.0
6	39.7086840977389	41.0	41.0	41.0	37.0	41.0
7	40.00329989043867	41.0	41.0	41.0	37.0	41.0
8	39.86313844231499	41.0	41.0	41.0	37.0	41.0
9	40.065472063516985	41.0	41.0	41.0	37.0	41.0
10-11	40.117482417674154	41.0	41.0	41.0	37.0	41.0
12-13	40.12405961926349	41.0	41.0	41.0	37.0	41.0
14-15	40.11222444723728	41.0	41.0	41.0	37.0	41.0
16-17	40.05579632073609	41.0	41.0	41.0	37.0	41.0
18-19	40.055063943922164	41.0	41.0	41.0	37.0	41.0
20-21	40.03888971633579	41.0	41.0	41.0	37.0	41.0
22-23	40.0467836632844	41.0	41.0	41.0	37.0	41.0
24-25	40.02865322004469	41.0	41.0	41.0	37.0	41.0
26-27	39.971761182392385	41.0	41.0	41.0	37.0	41.0
28-29	39.94428529613979	41.0	41.0	41.0	37.0	41.0
30-31	39.901975128396394	41.0	41.0	41.0	37.0	41.0
32-33	39.906912120789656	41.0	41.0	41.0	37.0	41.0
34-35	39.9481156962717	41.0	41.0	41.0	37.0	41.0
36-37	39.94275591188941	41.0	41.0	41.0	37.0	41.0
38-39	39.91175662096191	41.0	41.0	41.0	37.0	41.0
40-41	39.90018017857524	41.0	41.0	41.0	37.0	41.0
42-43	39.874897797649396	41.0	41.0	41.0	37.0	41.0
44-45	39.82073215723553	41.0	41.0	41.0	37.0	41.0
46-47	39.81994840736267	41.0	41.0	41.0	37.0	41.0
48-49	39.81484714547048	41.0	41.0	41.0	37.0	41.0
50-51	39.81068313117966	41.0	41.0	41.0	37.0	41.0
52-53	39.765168154586505	41.0	41.0	41.0	37.0	41.0
54-55	39.764281037147484	41.0	41.0	41.0	37.0	41.0
56-57	39.73820568819909	41.0	41.0	41.0	37.0	41.0
58-59	39.72264120496338	41.0	41.0	41.0	37.0	41.0
60-61	39.69924139806808	41.0	41.0	41.0	37.0	41.0
62-63	39.66221913385437	41.0	41.0	41.0	37.0	41.0
64-65	39.650553617212296	41.0	41.0	41.0	37.0	41.0
66-67	39.6277411825291	41.0	41.0	41.0	37.0	41.0
68-69	39.603006401124574	41.0	41.0	41.0	37.0	41.0
70-71	39.51100709217508	41.0	41.0	41.0	37.0	41.0
72-73	39.51701059341476	41.0	41.0	41.0	37.0	41.0
74-75	39.48074556394672	41.0	41.0	41.0	37.0	41.0
76-77	39.111144162953686	41.0	41.0	41.0	34.5	41.0
78-79	39.20557250613318	41.0	41.0	41.0	37.0	41.0
80-81	39.353407494210686	41.0	41.0	41.0	37.0	41.0
82-83	39.39650648698802	41.0	41.0	41.0	37.0	41.0
84-85	39.36057807534563	41.0	41.0	41.0	37.0	41.0
86-87	39.32420273880549	41.0	41.0	41.0	37.0	41.0
88-89	39.182296574597714	41.0	41.0	41.0	37.0	41.0
90-91	39.19869234850074	41.0	41.0	41.0	37.0	41.0
92-93	39.133179580120526	41.0	41.0	41.0	37.0	41.0
94-95	39.048453287699694	41.0	41.0	41.0	37.0	41.0
96-97	39.03158697386375	41.0	41.0	41.0	37.0	41.0
98-99	38.82733411318189	41.0	41.0	41.0	32.0	41.0
100-101	38.3517199513696	41.0	39.0	41.0	29.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.13589872572278594
1101	2	0.006890791679541763
1101	3	-0.433190787622614
1101	4	-0.11380495772836952
1101	5	0.08131809763732178
1101	6	-0.028018241984739234
1101	7	0.08817071004912691
1101	8	0.011034121766634541
1101	9	-0.00235546721125246
1101	10-11	0.033355118725424404
1101	12-13	0.02639037060536964
1101	14-15	0.036299555076588774
1101	16-17	0.08048470881115577
1101	18-19	-0.013839766122700325
1101	20-21	0.08940915742405053
1101	22-23	0.03859245110962206
1101	24-25	0.04879531779489099
1101	26-27	0.07902609680196804
1101	28-29	0.071697237993952
1101	30-31	0.01546214279809277
1101	32-33	0.04552951245327108
1101	34-35	0.05227914177466886
1101	36-37	-0.03966881915258824
1101	38-39	-0.0048789439445613425
1101	40-41	0.02143769118746519
1101	42-43	0.03792248778126606
1101	44-45	0.04700780575996788
1101	46-47	0.009476527962313241
1101	48-49	9.579435548090487E-5
1101	50-51	-0.013518279796414845
1101	52-53	0.042284605869888026
1101	54-55	0.08169480931243811
1101	56-57	0.004036359031303505
1101	58-59	-0.03728787268897804
1101	60-61	-0.014645830883566191
1101	62-63	0.13886111734728956
1101	64-65	0.10531161237447861
1101	66-67	0.11878992229852514
1101	68-69	0.09774664026149082
1101	70-71	0.08313084024866413
1101	72-73	0.09180430893191271
1101	74-75	0.09311090505336495
1101	76-77	0.12151076925339765
1101	78-79	0.18467279958588279
1101	80-81	0.18897946026087453
1101	82-83	0.1494624698305813
1101	84-85	0.2181181926929483
1101	86-87	0.1717725541943338
1101	88-89	0.3307526604710631
1101	90-91	0.3197108109992115
1101	92-93	0.2583608335785783
1101	94-95	0.34368914677172313
1101	96-97	0.2936000362980309
1101	98-99	0.48660604176880895
1101	100-101	0.39549553508005886
1102	1	-0.15886662027814324
1102	2	-0.0734956233883679
1102	3	-0.2794749008430202
1102	4	-0.038999412750939655
1102	5	0.13451509724483657
1102	6	0.07760878275249183
1102	7	0.055600314485808155
1102	8	0.05437814994382251
1102	9	0.030685715476039377
1102	10-11	0.03188609753951965
1102	12-13	-0.003804203573018583
1102	14-15	0.006572363569823381
1102	16-17	0.056803581489994315
1102	18-19	0.11027148943446008
1102	20-21	0.08186124340495837
1102	22-23	-0.06000194778811618
1102	24-25	0.025507161544148005
1102	26-27	0.10266880244670062
1102	28-29	0.08807630139020972
1102	30-31	0.09754446148304652
1102	32-33	0.12109473665348247
1102	34-35	0.07830812533651965
1102	36-37	0.005982455012336629
1102	38-39	0.0905031109926
1102	40-41	0.034823511448912825
1102	42-43	0.030847549462649226
1102	44-45	0.08268914123907933
1102	46-47	0.09744319934657852
1102	48-49	0.12780920366645887
1102	50-51	0.02596558577441499
1102	52-53	0.08933705534903424
1102	54-55	0.052187448156949756
1102	56-57	0.1314171047133641
1102	58-59	-0.017879333057983615
1102	60-61	0.024373813292804414
1102	62-63	0.09682683062139574
1102	64-65	0.11148096636991767
1102	66-67	0.046004190261015765
1102	68-69	0.013981063068214894
1102	70-71	0.12128696940580141
1102	72-73	0.08216119767100594
1102	74-75	0.09505630639210239
1102	76-77	0.1833404873015141
1102	78-79	0.16676343486155076
1102	80-81	0.19128014051908337
1102	82-83	0.1800033254472737
1102	84-85	0.21326830715550216
1102	86-87	0.1529656299273512
1102	88-89	0.3891407203758064
1102	90-91	0.3355721544641952
1102	92-93	0.3369239212417696
1102	94-95	0.3977233984803945
1102	96-97	0.26743268606596615
1102	98-99	0.5312388983329086
1102	100-101	0.496942135515539
1103	1	-0.22530997622308746
1103	2	-0.023469533065352266
1103	3	-0.25881024285068577
1103	4	-0.017150871284158598
1103	5	0.17144552866095353
1103	6	0.14852508611842552
1103	7	0.10871011266453223
1103	8	-0.023323881734874874
1103	9	-0.005111329865016501
1103	10-11	0.07438358669660516
1103	12-13	0.11615349082794069
1103	14-15	0.039074734142182876
1103	16-17	0.09020929442910841
1103	18-19	0.11174433024982733
1103	20-21	0.1137918711998438
