##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	29_4E_fox_S21_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4827433
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.209847759668545	32.0	32.0	32.0	27.0	32.0
2	30.909520857151204	32.0	32.0	32.0	32.0	32.0
3	33.51493039882687	37.0	32.0	37.0	27.0	37.0
4	34.41085272441896	37.0	37.0	37.0	27.0	37.0
5	35.036403198138636	37.0	37.0	37.0	32.0	37.0
6	37.81726312928631	41.0	37.0	41.0	32.0	41.0
7	37.58075938081378	41.0	37.0	41.0	27.0	41.0
8	38.087742491713506	41.0	41.0	41.0	32.0	41.0
9	38.2646611563537	41.0	41.0	41.0	32.0	41.0
10-11	38.19051139601523	41.0	41.0	41.0	32.0	41.0
12-13	38.19214217991218	41.0	41.0	41.0	32.0	41.0
14-15	38.18255230057051	41.0	41.0	41.0	32.0	41.0
16-17	37.83960295254227	41.0	39.0	41.0	27.0	41.0
18-19	38.00891395074774	41.0	39.0	41.0	29.5	41.0
20-21	37.83473856602464	41.0	39.0	41.0	27.0	41.0
22-23	37.954280359768845	41.0	39.0	41.0	29.5	41.0
24-25	38.17194055308484	41.0	41.0	41.0	32.0	41.0
26-27	38.04545117456835	41.0	41.0	41.0	29.5	41.0
28-29	38.11450267668137	41.0	41.0	41.0	32.0	41.0
30-31	37.88086629063521	41.0	39.0	41.0	27.0	41.0
32-33	37.212116667388244	41.0	37.0	41.0	27.0	41.0
34-35	36.81004480020748	41.0	37.0	41.0	22.0	41.0
36-37	36.68505601217044	41.0	37.0	41.0	22.0	41.0
38-39	36.70577509827687	41.0	37.0	41.0	22.0	41.0
40-41	37.50951012681067	41.0	37.0	41.0	27.0	41.0
42-43	37.912219185641725	41.0	39.0	41.0	27.0	41.0
44-45	38.120432018424694	41.0	41.0	41.0	32.0	41.0
46-47	38.142747605197215	41.0	41.0	41.0	32.0	41.0
48-49	38.124659316866754	41.0	41.0	41.0	32.0	41.0
50-51	38.12060457390087	41.0	41.0	41.0	32.0	41.0
52-53	38.18383538414723	41.0	41.0	41.0	32.0	41.0
54-55	37.99567648064716	41.0	41.0	41.0	27.0	41.0
56-57	38.10086250808659	41.0	41.0	41.0	32.0	41.0
58-59	38.01695880605696	41.0	41.0	41.0	32.0	41.0
60-61	37.924448770184895	41.0	41.0	41.0	27.0	41.0
62-63	37.96313423718154	41.0	41.0	41.0	29.5	41.0
64-65	37.913492636769895	41.0	41.0	41.0	27.0	41.0
66-67	37.88945936691405	41.0	41.0	41.0	27.0	41.0
68-69	37.79935651100699	41.0	37.0	41.0	27.0	41.0
70-71	37.81910831284453	41.0	37.0	41.0	27.0	41.0
72-73	37.72273908306961	41.0	37.0	41.0	27.0	41.0
74-75	37.69599381286079	41.0	37.0	41.0	27.0	41.0
76-77	37.13268594302603	41.0	37.0	41.0	27.0	41.0
78-79	37.284685359693235	41.0	37.0	41.0	27.0	41.0
80-81	37.661191154802154	41.0	37.0	41.0	27.0	41.0
82-83	37.74309120395871	41.0	37.0	41.0	27.0	41.0
84-85	37.61878953058489	41.0	37.0	41.0	27.0	41.0
86-87	37.546861758619954	41.0	37.0	41.0	27.0	41.0
88-89	37.50662691745281	41.0	37.0	41.0	27.0	41.0
90-91	37.40276592134992	41.0	37.0	41.0	27.0	41.0
92-93	37.279581612007874	41.0	37.0	41.0	27.0	41.0
94-95	37.13583388935693	41.0	37.0	41.0	24.5	41.0
96-97	37.06424294236709	41.0	37.0	41.0	24.5	41.0
98-99	36.86713394054355	41.0	37.0	41.0	22.0	41.0
100-101	35.83064301462082	39.0	34.5	41.0	22.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.29152897709342795
1101	2	-0.6665860928747556
1101	3	-0.9224143102465234
1101	4	-0.9476686294214147
1101	5	-0.8344034609596136
1101	6	-1.3044045646258766
1101	7	-0.4501466899107385
1101	8	-0.3374072852666714
1101	9	0.052853692253947315
1101	10-11	0.07171670851257517
1101	12-13	0.1052336077700673
1101	14-15	0.01602260399475597
1101	16-17	0.07854411964308383
1101	18-19	0.06650806883109794
1101	20-21	0.14189144050112645
1101	22-23	0.10570997935437276
1101	24-25	0.0856329595327665
1101	26-27	0.1475982739492494
1101	28-29	0.027453068806785552
1101	30-31	0.23399469041564913
1101	32-33	0.4644022316903005
1101	34-35	0.3222479566487877
1101	36-37	0.33459420934260464
1101	38-39	0.024092363384120574
1101	40-41	-0.12472437641547884
1101	42-43	-0.07839072708093653
1101	44-45	-0.16509191774335363
1101	46-47	-0.03746776883113512
1101	48-49	0.0403479925711423
1101	50-51	-0.09210201555576703
1101	52-53	-0.10730984867704763
1101	54-55	-0.006948450107834958
1101	56-57	-0.13377177281690678
1101	58-59	0.0017235124913241862
1101	60-61	0.03687861435927431
1101	62-63	-0.11919296221343245
1101	64-65	-0.09059382413714445
1101	66-67	0.021594885548488207
1101	68-69	0.02488018346677734
1101	70-71	-0.11738064724355013
1101	72-73	-0.062280038517613434
1101	74-75	-0.12062619335918612
1101	76-77	-0.30284666480116584
1101	78-79	-0.013342014686472226
1101	80-81	-0.12379326222932718
1101	82-83	-0.06408102121476134
1101	84-85	0.004512534026233084
1101	86-87	-0.11341015856028491
1101	88-89	-0.20110117119829596
1101	90-91	-0.2060779559203283
1101	92-93	-0.10286760483997881
1101	94-95	-0.1006225502094864
1101	96-97	-0.06998094089137652
1101	98-99	-0.09839416462789075
1101	100-101	-0.22694379301609047
1102	1	-0.5235594265151846
1102	2	-0.5311910232026378
1102	3	-1.2821579258040927
1102	4	-1.0745136602098242
1102	5	-1.0708378126619138
1102	6	-1.427341284124779
1102	7	-0.9492768523371566
1102	8	-0.7834080507821
1102	9	-0.18619868329994205
1102	10-11	-0.20572548753426645
1102	12-13	-0.06251883601877495
1102	14-15	-0.1595853703998671
1102	16-17	-0.0870173158880192
1102	18-19	-0.008054787329328406
1102	20-21	0.023286400258072604
1102	22-23	-0.009559913468599746
1102	24-25	-0.09555855987917283
1102	26-27	0.10598419391252634
1102	28-29	-0.021086639995807843
1102	30-31	-0.01135908324954471
1102	32-33	0.16797389127813034
1102	34-35	0.12115230661481036
1102	36-37	0.041782613194307316
1102	38-39	-0.02044711391572207
1102	40-41	-0.21137060664107565
1102	42-43	-0.1780166750385348
1102	44-45	-0.1297609976803784
1102	46-47	-0.15151497691272198
1102	48-49	-0.0743270937925189
1102	50-51	-0.017052322710313206
1102	52-53	-0.18386357993249192
1102	54-55	0.02921388585227902
1102	56-57	-0.20234546778089424
1102	58-59	-0.15523535831991353
1102	60-61	-0.06998738785556213
1102	62-63	-0.21870632006854862
1102	64-65	-0.08521430308522326
1102	66-67	-0.027784507106936474
1102	68-69	-0.053994654760941785
1102	70-71	-0.23844564747943053
1102	72-73	0.009254800459089552
1102	74-75	-0.0768420181291063
1102	76-77	-0.5135302253330565
1102	78-79	-0.2058261025194028
1102	80-81	-0.10308081735106356
1102	82-83	-0.20654470665114388
1102	84-85	-0.12658830536580723
1102	86-87	-0.1414154267071126
1102	88-89	-0.20314286990329578
1102	90-91	-0.24065381708870603
1102	92-93	-0.34729001761426304
1102	94-95	-0.24023768173563553
1102	96-97	-0.2948000307256322
1102	98-99	-0.21750476604385938
1102	100-101	-0.41670942565330904
1103	1	-0.7539229516825259
1103	2	-0.5505427488109937
1103	3	-1.306548169706538
1103	4	-1.1068039417047686
1103	5	-1.30606030981442
1103	6	-1.087854001053195
1103	7	-1.2839949365780399
1103	8	-1.196317430393492
1103	9	-0.5211344674403904
1103	10-11	-0.38787802334534405
1103	12-13	-0.2941896827479482
1103	14-15	-0.41667492473226275
1103	16-17	-0.24563806358618478
1103	18-19	-0.19384033048496718
1103	20-21	-0.07389808918516394
1103	22-23	-0.2575285153078326
1103	24-25	-0.11688529488565536
1103	26-27	-0.1550834333269009
1103	28-29	-0.2925084784378029
1103	30-31	-0.28966652263864034
1103	32-33	-0.16011332334142736
1103	34-35	-0.37356005458747177
1103	36-37	-0.3011598141595755
1103	38-39	-0.5943730622849372
1103	40-41	-0.5716420582168809
1103	42-43	-0.334613599185829
1103	44-45	-0.25547259020003565
1103	46-47	-0.23158477554031265
1103	48-49	-0.1988458255222696
1103	50-51	-0.19453441016059259
1103	52-53	-0.17614813838884658
1103	54-55	-0.06586317879000347
1103	56-57	-0.31140582339480716
1103	58-59	-0.2739311788184935
1103	60-61	-0.10235285436736774
1103	62-63	-0.14219995459081503
1103	64-65	-0.03316326704691619
1103	66-67	0.038022020523555966
1103	68-69	-0.11353950486782338
1103	70-71	-0.1775379286713914
1103	72-73	-0.21686469883114512
1103	74-75	-0.3029856439545924
1103	76-77	-0.33976081890193655
1103	78-79	-0.20054800211934776
1103	80-81	-0.2043539128977514
1103	82-83	-0.16447307889553286
1103	84-85	-0.20688758661948725
1103	86-87	-0.28958377381501776
1103	88-89	-0.340326910480762
1103	90-91	-0.3200138467138416
1103	92-93	-0.35328237567448895
1103	94-95	-0.331180131532804
1103	96-97	-0.41745765274698243
1103	98-99	-0.2918156168128192
1103	100-101	-0.5640524208223923
1104	1	-0.39539540486731184
1104	2	-0.47290539880546945
1104	3	-1.19774790566143
1104	4	-1.0486545754483174
1104	5	-0.9041268199757297
1104	6	-1.2998108906952055
1104	7	-1.2014016922567876
1104	8	-1.395439632412426
1104	9	-0.9433799419900879
1104	10-11	-0.6128484987703899
1104	12-13	-0.22805775627995217
1104	14-15	-0.15895881176503224
1104	16-17	-0.15590656282577697
1104	18-19	-0.14983724597777837
1104	20-21	-0.09683950499133687
1104	22-23	-0.20382163740507764
1104	24-25	-0.039199087849645764
1104	26-27	-0.05113383098241542
1104	28-29	-0.14575990024524543
1104	30-31	-0.03872261838105118
1104	32-33	-0.038562188623323834
1104	34-35	-0.2031618779318478
1104	36-37	-0.1944929194934275
1104	38-39	-0.4863163208154404
1104	40-41	-0.4232684951903636
1104	42-43	-0.22862475867444942
1104	44-45	-0.1831157623350208
1104	46-47	-0.024063262839796096
1104	48-49	0.033327044765840697
1104	50-51	-0.10429514913946036
1104	52-53	-0.13536193648282335
1104	54-55	0.057826156724523514
1104	56-57	-0.13410148833762747
1104	58-59	-0.16100558997591463
1104	60-61	0.021913998390296285
1104	62-63	-0.1594720005793988
1104	64-65	-0.13394386668010583
1104	66-67	-0.1054995779481942
1104	68-69	-0.21268860539632328
1104	70-71	-0.1199148069188567
1104	72-73	-0.11391161705179798
1104	74-75	-0.12486327935032193
1104	76-77	-0.136170940015802
1104	78-79	0.027690357218133954
1104	80-81	-0.06878089185856595
1104	82-83	-0.09457457394780988
1104	84-85	0.019285721753327323
1104	86-87	-0.10455101653321464
1104	88-89	-0.15583684623648253
1104	90-91	-0.1360502441158431
1104	92-93	-0.14000528764036346
1104	94-95	-0.22511672976435193
